"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"8","Thursday","08:40","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-TTE",""
"8","Thursday","09:30","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-TTE",""
"8","Thursday","10:20","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-TTE",""
"8","Thursday","11:10","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","","Lab-TTE",""
"9","Monday","07:50","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-TTE",""
"9","Monday","08:40","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-TTE",""
"9","Monday","09:30","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-TTE",""
"9","Monday","10:20","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-TTE",""
"9","Monday","11:10","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","","Lab-TTE",""
"11","Tuesday","07:50","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","405.1.04.124 - RUANG PTE",""
"11","Tuesday","08:40","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","405.1.04.124 - RUANG PTE",""
"11","Tuesday","09:30","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","405.1.04.124 - RUANG PTE",""
"12","Thursday","13:00","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","Lab-TTE",""
"12","Thursday","13:50","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","Lab-TTE",""
"12","Thursday","14:40","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","Lab-TTE",""
"13","Tuesday","10:20","TE01-4","E5051-EE205-2-EKONOMI TEKNIK","BTM+BCH","","405.1.04.132 - RUANG TE",""
"13","Tuesday","11:10","TE01-4","E5051-EE205-2-EKONOMI TEKNIK","BTM+BCH","","405.1.04.132 - RUANG TE",""
"14","Tuesday","13:50","TE02-4","E5051-EE205-2-EKONOMI TEKNIK","BCH+BTM+AJI","","Lab-TTE",""
"14","Tuesday","14:40","TE02-4","E5051-EE205-2-EKONOMI TEKNIK","BCH+BTM+AJI","","Lab-TTE",""
"15","Monday","15:30","TE01-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","405.1.04.133 - RUANG D3",""
"15","Monday","16:20","TE01-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","405.1.04.133 - RUANG D3",""
"16","Monday","07:00","TE02-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","Lab-ELDAS",""
"16","Monday","07:50","TE02-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","Lab-ELDAS",""
"17","Tuesday","13:00","TE01-4","E5051-EE301-2-SISTEM MIKROPROSESOR","YYS+DDW","","Lab-ELDAS",""
